id,user_id,sequence_number,session_id,created_at,ip_address,city,state,postal_code,browser,traffic_source,uri,event_type
23789,1757,6,0173ae06-887c-49da-a1fe-e7b1ba08b113,2021-12-21 04:39:47 UTC,157.146.64.114,Pikesville,Maryland,21208,Safari,Email,/cart,cart
24224,1788,3,5ffd491d-9aca-45fd-9563-06ae51e3646c,2021-12-26 07:35:05 UTC,76.126.62.177,Glasgow,Scotland,G21,Firefox,Email,/cart,cart
24749,1839,4,797a7b5a-eb85-4932-98ee-44b070763113,2022-05-03 02:50:07 UTC,100.48.82.69,Daly City,California,94014,Safari,Email,/cart,cart
25188,1863,9,12a6bde0-d285-465e-86b2-b3d5bc616017,2020-05-18 12:56:26 UTC,83.137.242.219,Manaus,Amazonas,69099,Other,Email,/cart,cart
25997,1926,9,aa1cb979-41a5-4216-881b-5e8823a84a28,2020-08-11 17:46:29 UTC,91.27.11.242,Gorzów Wielkopolski,Lubuskie,66,Chrome,Email,/cart,cart
26886,1980,4,33573628-6648-4f4e-b114-5200af68fe73,2021-07-11 11:08:13 UTC,206.110.52.180,Valença,Bahia,45400-000,Chrome,Email,/cart,cart
28049,2067,4,fd1d5364-6125-4bee-acd0-97f1738e1895,2022-01-20 08:17:43 UTC,194.40.187.101,Chengdu,Shanxi,30024,Safari,Email,/cart,cart
28818,2118,6,1daa26eb-37a1-4292-a61b-8c34a5bcb11b,2019-10-27 15:41:59 UTC,32.149.223.94,Olching,Bayern,82140,Chrome,Email,/cart,cart
30063,2207,3,df8b30ea-6d59-487f-b864-5a10e33a993f,2021-11-13 14:49:15 UTC,20.29.183.115,Palmares,Pernambuco,55540-000,Firefox,Email,/cart,cart
30195,2215,6,119704c3-b9d8-409e-8eba-4033cee55d6f,2020-02-20 02:13:31 UTC,129.37.195.95,Suèvres,Centre-Val de Loire,41500,Firefox,Email,/cart,cart
31352,2286,6,e340eb93-0790-40f4-951d-1662cb61da31,2022-05-13 23:39:44 UTC,137.197.84.178,Quixeramobim,Ceará,63800-000,Safari,Email,/cart,cart
31663,2314,9,f1394cc8-1bb0-4c6e-8e22-3661bb68283b,2020-09-19 12:18:28 UTC,160.13.211.210,Land O' Lakes,Florida,34639,Firefox,Email,/cart,cart
31784,2325,6,28aa710a-8a56-413c-a1f1-94b22fbfe5cd,2022-04-24 23:16:10 UTC,101.5.140.61,Overland Park,Kansas,66213,Chrome,Email,/cart,cart
31890,2339,4,f0e3dcc6-c0f2-4f3a-8c71-a04a04a7ad7e,2021-01-23 17:01:31 UTC,146.128.217.135,Stuttgart,Baden-Württemberg,70327,Firefox,Email,/cart,cart
32292,2375,3,50712e29-7683-47c7-9f32-9b1708fde350,2022-03-20 00:28:10 UTC,102.130.175.244,Jacksonville,Florida,32244,Firefox,Email,/cart,cart
33715,2501,12,327e375e-21d9-445b-82bf-9ce4c93c5c90,2022-02-24 10:49:15 UTC,3.49.105.166,Dongguan,Henan,450011,Safari,Email,/cart,cart
34054,2519,4,182516c1-da76-4273-aabd-e95436dc8bdd,2020-04-30 13:38:45 UTC,148.122.16.218,Salgueiro,Pernambuco,56000-000,Chrome,Email,/cart,cart
34112,2521,9,c4c7b1e4-9710-414b-bb87-9d8e1a9df30d,2022-04-04 07:56:09 UTC,124.226.252.203,Incheon Metropolitan City,Incheon Metropolitan City,405-300,Chrome,Email,/cart,cart
34311,2531,6,6d5529d9-e410-4d6a-b7a2-ff89988047de,2022-02-15 13:44:52 UTC,222.249.79.204,Bengbu,Jiangsu,214151,Firefox,Email,/cart,cart
36516,2707,3,c563c9c9-ec39-4ec1-b1a1-601d56f057f0,2021-02-08 04:50:14 UTC,86.69.178.197,Chengdu,Jilin,132000,Safari,Email,/cart,cart
37468,2805,4,cf34b024-d1e0-4238-ab09-7c11a64fe012,2021-04-08 23:47:17 UTC,31.190.241.182,Porto Ferreira,São Paulo,13660-000,Chrome,Email,/cart,cart
38159,2844,6,23ae4a5e-40af-4ab4-8c66-b1e17b656b18,2022-06-01 11:34:35 UTC,167.22.161.241,Baoding,Fujian,361028,Chrome,Email,/cart,cart
38391,2862,6,19c47360-6b8e-4a1a-add6-a87cec50f5f6,2021-10-30 22:37:27 UTC,21.112.120.3,Durham,North Carolina,27703,Chrome,Email,/cart,cart
39073,2915,3,2fe8b695-65cc-44e6-adc9-f00c7f379bfb,2022-05-13 04:34:34 UTC,96.141.73.194,Hohhot,Guangdong,515021,Safari,Email,/cart,cart
39423,2945,12,b1897d75-be1f-4e12-93b2-fc373a0d60d2,2022-03-07 02:42:56 UTC,174.117.240.15,Mudanjiang,Guangdong,529699,Other,Email,/cart,cart
39653,2960,4,a3942472-7e5b-4927-9851-7e11e03f0b5f,2021-02-17 08:48:17 UTC,182.137.217.81,Harbin,Shaanxi,710015,Chrome,Email,/cart,cart
41063,3079,4,d64bead6-e90b-47bb-aef2-e73e20a23ef8,2022-05-31 10:03:47 UTC,81.219.80.97,Milwaukee,Wisconsin,53209,Chrome,Email,/cart,cart
42225,3162,6,b7e95c5f-ece1-48d3-8034-55450c1ca874,2021-10-19 04:25:11 UTC,96.66.215.85,Ryton-on-Dunsmore,England,CV8,Chrome,Email,/cart,cart
42881,3214,4,40d4e3b2-975f-4e40-a21f-72fc3c4719a9,2021-01-17 07:26:01 UTC,13.84.110.209,Seoul,Seoul,157-280,Safari,Email,/cart,cart
43367,3249,6,0ae3186a-456e-4f20-9595-f3312456f39a,2022-05-06 10:43:48 UTC,169.51.224.247,Countryside,Illinois,60525,Chrome,Email,/cart,cart
43795,3285,6,ac084511-71ec-41e7-a7ff-90b87c471afd,2022-05-29 11:48:29 UTC,213.226.135.143,Linyi,Guangdong,523321,Chrome,Email,/cart,cart
44461,3344,3,6d4a91f8-9ab5-4c4b-a126-4a1027d1d870,2021-07-12 05:02:39 UTC,194.12.67.80,Floresta,Pernambuco,56400-000,Safari,Email,/cart,cart
44612,3349,9,95736ded-a10c-4ec4-8914-e040d7d5af36,2022-02-27 11:14:10 UTC,196.166.91.92,Hengshui,Liaoning,121000,Chrome,Email,/cart,cart
45557,3420,6,aed81532-fc02-446d-823a-2a30efd70dfe,2022-04-17 01:03:28 UTC,143.41.65.49,Tauá,Ceará,63660-000,IE,Email,/cart,cart
45571,3421,6,7604aa6c-7f39-407c-ad76-893f7945d55c,2019-09-10 03:42:07 UTC,204.62.147.189,Huizhou,Guangdong,515152,Chrome,Email,/cart,cart
46396,3494,3,15d882d5-5e14-400c-8394-fa0f882204c5,2021-07-12 01:02:51 UTC,13.64.205.176,Panambi,Rio Grande do Sul,98280-000,Chrome,Email,/cart,cart
47181,3554,9,d408ae50-6d4e-40f7-a702-9e6d0da3023b,2021-12-27 16:51:27 UTC,139.1.173.236,Perth,Western Australia,6152,Chrome,Email,/cart,cart
47434,3578,9,e8b207e2-b290-4bd2-b858-a7e39c37829d,2021-09-18 07:30:56 UTC,169.64.207.101,Kaysville,Utah,84037,Chrome,Email,/cart,cart
49093,3699,6,9789f6a2-f19c-43bc-adbf-d597aaa5563c,2021-02-14 06:54:02 UTC,193.185.118.165,Chiba,Chiba,261-0002,Other,Email,/cart,cart
50444,3811,3,f9df728b-a6fe-43bf-a6b2-a7d45214cd02,2022-06-06 05:16:24.179642 UTC,148.159.74.139,Serra,Espírito Santo,29171,Chrome,Email,/cart,cart
50849,3846,4,f0b14b1d-b17f-4e85-9570-c5b40a67f74c,2022-04-11 02:33:22 UTC,192.16.57.102,Toulouse,Occitanie,31100,Firefox,Email,/cart,cart
50948,3851,6,016f5d1b-fb62-4b2b-a8ab-f79b082f1b71,2022-06-02 10:28:53 UTC,176.81.99.63,Tangará da Serra,Mato Grosso,78300-000,Firefox,Email,/cart,cart
51925,3911,3,1d5d38ea-6888-4924-8d8b-9791ca7de8bf,2022-01-09 13:15:34 UTC,165.235.119.191,Mocajuba,Pará,68420-000,Safari,Email,/cart,cart
54019,4073,6,90ee5fc3-28fa-4f93-ab40-caa5ea4af58b,2021-02-03 13:24:47 UTC,70.87.121.78,Hamburg,Hamburg,22607,Chrome,Email,/cart,cart
55182,4170,3,4cbb4356-5398-4aa1-a255-ef7437410912,2022-03-30 02:28:53 UTC,78.160.173.177,São Gonçalo do Amarante,Ceará,62670-000,Firefox,Email,/cart,cart
56070,4257,4,946a2771-fc9d-4002-9c97-10cb7d5e8c81,2021-08-20 06:06:46 UTC,6.184.76.40,Chongqing,Jiangsu,210019,Firefox,Email,/cart,cart
56150,4267,9,e60c73ce-9fd5-449c-a844-40bb355331b7,2022-04-23 14:46:52 UTC,95.31.244.110,London,England,E14,Chrome,Email,/cart,cart
56648,4303,3,c0261581-1287-4ceb-bbcd-eefc5c867064,2022-06-06 05:23:57 UTC,124.186.38.48,Handan,Sichuan,611731,Firefox,Email,/cart,cart
57655,4388,9,ee49aebd-3e10-431d-a997-55911b9eee24,2019-12-10 14:46:23 UTC,147.248.78.66,Beijing,Inner Mongolia Autonomous Region,10011,Chrome,Email,/cart,cart
57726,4389,4,7f9b8423-0aac-44d9-8051-a7f3e5a586c8,2021-12-06 09:30:54 UTC,82.224.53.133,Valréas,Provence-Alpes-Côte d'Azur,84600,Chrome,Email,/cart,cart
59593,4519,6,b8328c15-b076-465c-b702-37cd0fe7368b,2022-01-06 10:23:26 UTC,38.145.164.211,Dracena,São Paulo,17900-000,Chrome,Email,/cart,cart
61253,4650,4,e84bdd85-741e-45d9-81a7-0e97bdd6be06,2021-03-02 00:07:44 UTC,64.214.159.19,Villanueva de la Cañada,Comunidad de Madrid,28691,Chrome,Email,/cart,cart
61748,4690,3,c79e2017-ea8d-4207-bd74-99af2cae3b4f,2021-12-09 06:39:49 UTC,137.117.152.2,San Antonio,Texas,78245,Safari,Email,/cart,cart
62601,4754,12,bdc09f48-da04-4dae-bcf3-627c97841e18,2019-04-25 09:45:22 UTC,221.214.60.78,Waremme,Wallonia,4300,Chrome,Email,/cart,cart
65556,4982,6,9d1b6e42-d870-48c0-bf32-ca53127c22b1,2021-08-11 02:58:57 UTC,52.107.229.54,San Antonio,Texas,78258,Firefox,Email,/cart,cart
66206,5040,3,a3cc7db6-0249-4ed1-b3ab-929a55973157,2020-05-27 00:07:40 UTC,87.113.70.55,Hohhot,Jilin,135099,Chrome,Email,/cart,cart
66445,5053,4,aa8458ab-bece-41b6-9a34-549235918703,2022-01-12 02:13:52 UTC,80.230.81.229,Ghent,Flanders,9000,Firefox,Email,/cart,cart
67048,5101,3,36bbe088-2bc7-4177-adcf-9c43b67ad757,2022-03-15 10:24:08 UTC,126.178.117.188,Shenyang,Shandong,276200,Firefox,Email,/cart,cart
68328,5210,3,38db91c5-4825-484f-89ea-409d24e518af,2020-07-28 22:12:52 UTC,96.30.162.32,Slough,England,SL1,Firefox,Email,/cart,cart
68377,5213,3,eb9f8f41-7db8-41dd-9c52-63144192c553,2021-03-21 13:58:16 UTC,145.118.94.175,Dortmund,Nordrhein-Westfalen,44329,IE,Email,/cart,cart
69217,5280,3,32cbf727-6b62-41d6-9640-b94071409af1,2021-08-20 03:49:03 UTC,213.159.69.93,Foshan,Shanxi,30000,Safari,Email,/cart,cart
69381,5290,6,61de0493-5596-415e-94cc-b13f61a5ae20,2022-06-06 12:18:35.290392 UTC,204.81.107.126,Incheon Metropolitan City,Incheon Metropolitan City,404-210,Chrome,Email,/cart,cart
69408,5293,3,9987c8b6-250f-4895-b876-b268a39ab9da,2021-04-02 04:24:03 UTC,79.85.120.147,Nice,Provence-Alpes-Côte d'Azur,6000,Safari,Email,/cart,cart
69768,5312,12,101dad46-a9b4-4a28-afcd-406850a01e5c,2022-04-26 08:49:26 UTC,58.120.90.78,Shanghai,Henan,475001,Firefox,Email,/cart,cart
70042,5329,4,137461ca-b29e-488f-86b8-ae9d41e8d12a,2022-04-08 22:14:14 UTC,205.182.11.245,Seoul,Seoul,137-044,Firefox,Email,/cart,cart
70222,5343,4,1d374873-8482-42bd-9905-587d48817a62,2022-03-11 14:56:23 UTC,158.132.18.11,Sagunto,Comunidad Valenciana,46500,Chrome,Email,/cart,cart
70961,5406,9,cf5cbb00-1579-40f0-a991-3c38814432d9,2021-04-06 15:52:36 UTC,36.197.85.40,Concord,North Carolina,28027,Firefox,Email,/cart,cart
71673,5446,3,78ceb2d2-e9fc-452f-b751-b31271c8b82a,2022-05-21 16:50:34 UTC,101.1.242.246,Lago Verde,Maranhão,65700-000,Firefox,Email,/cart,cart
72480,5522,4,a32676fc-242b-49b7-b547-72bd4d59f0f6,2022-04-16 23:50:25 UTC,15.14.248.177,Simões Filho,Bahia,43700-000,Chrome,Email,/cart,cart
72926,5543,9,189d226f-48ac-4623-b53c-3a038b044d0c,2022-06-04 14:37:16 UTC,70.28.62.243,Rancho Cucamonga,California,91730,Safari,Email,/cart,cart
73625,5603,3,26fcfa57-caf7-4af1-b9fc-80eee64d3957,2022-02-08 02:36:39 UTC,67.137.159.196,Texas City,Texas,77590,Firefox,Email,/cart,cart
73712,5608,3,0296ecf5-3383-48f7-9c28-c24342c435b2,2022-05-10 02:26:13 UTC,20.240.57.80,Ribeirão Preto,São Paulo,14080,Chrome,Email,/cart,cart
74795,5716,4,001598d7-09ae-45f2-bd3e-9fdcd6462335,2022-01-08 11:56:45 UTC,172.112.59.194,Cave Creek,Arizona,85331,IE,Email,/cart,cart
75202,5748,9,e6f4edfe-22d0-4b81-99f6-1b26fb2f3603,2022-05-23 08:52:14 UTC,133.109.206.243,Salvador,Bahia,40301-155,Other,Email,/cart,cart
75712,5791,6,02ee811e-06f4-4bb2-8c82-8d977ac4ee5c,2021-08-22 14:04:54 UTC,147.213.2.93,Gold Coast,Queensland,4213,Safari,Email,/cart,cart
76090,5810,4,96f92044-c204-4fb4-8411-b4055942519a,2022-03-29 13:53:10 UTC,69.250.183.102,Balneário Rincão,Santa Catarina,88820-000,Safari,Email,/cart,cart
76886,5870,3,abe20f80-597b-4a7e-84d8-29a2dcebf659,2019-12-20 13:47:25 UTC,217.60.227.117,Jinan,Shandong,266012,Safari,Email,/cart,cart
77765,5957,3,6319dff1-2e96-4634-be76-f6253e7beb7f,2021-09-29 07:24:32 UTC,85.128.252.11,Goianésia,Goiás,76380-000,Firefox,Email,/cart,cart
77812,5961,3,d6c2f733-eec2-4eec-8826-116b04c968ac,2021-07-15 13:39:53 UTC,181.226.220.226,Tangente,Ceará,62140-000,Chrome,Email,/cart,cart
78120,5991,3,f1970c8a-f9ec-4394-88da-f87ca746cfc4,2020-09-29 10:18:17 UTC,93.40.88.216,New York,New York,10459,Firefox,Email,/cart,cart
78317,5999,12,75b48f09-810f-47f4-91a4-5852243f2327,2020-06-03 03:21:13 UTC,11.55.241.38,Madrid,Comunidad de Madrid,28021,Chrome,Email,/cart,cart
79887,6112,3,a27bbadc-41f1-4de1-9c36-5b927e0082d6,2021-03-05 02:41:48 UTC,138.138.25.224,Los Angeles,California,91423,Safari,Email,/cart,cart
80536,6166,6,abb0e9be-bd22-498e-9573-24245cfc1ea9,2022-02-19 22:06:15 UTC,120.233.165.246,Berlin,Berlin,12349,IE,Email,/cart,cart
80745,6185,9,afb81c99-cf23-4748-a1fe-a963d69fdaae,2022-03-22 02:40:38 UTC,115.159.207.16,Goiânia,Goiás,74465-140,IE,Email,/cart,cart
81082,6202,3,87a68d18-81bd-4b55-99f8-a8cf5011b06d,2021-03-23 06:44:41 UTC,218.134.222.55,Grièges,Auvergne-Rhône-Alpes,1290,Firefox,Email,/cart,cart
82012,6278,9,4f2f192f-d730-4d08-92ff-48d3b4130a16,2021-07-16 03:16:51 UTC,121.73.254.15,Riachão do Jacuípe,Bahia,44640-000,Firefox,Email,/cart,cart
85899,6586,3,11352a76-b90f-47f2-9133-b689a94bffa2,2022-03-27 09:33:56 UTC,171.86.103.199,Canberra,Australian Capital Territory,2602,Chrome,Email,/cart,cart
86149,6605,6,ca66e3f9-3484-45cf-8787-f532e43badb5,2021-03-07 04:49:25 UTC,106.130.243.83,Louisville,Kentucky,40220,Other,Email,/cart,cart
86192,6607,6,362a5d60-f3d8-4b66-8afb-6f4a99a2a7d3,2022-03-02 21:23:07 UTC,110.15.104.203,Bijie,Guangdong,528415,Chrome,Email,/cart,cart
87074,6670,6,89079c78-602f-4cc3-8ac2-a4cf8f1b27d5,2022-05-06 12:19:03 UTC,62.229.234.14,Clermont-Ferrand,Auvergne-Rhône-Alpes,63100,Chrome,Email,/cart,cart
87719,6714,3,c486434d-399a-4686-be53-21bc50180f00,2020-05-09 02:16:52 UTC,196.101.227.220,Wuhu,Zhejiang,325024,IE,Email,/cart,cart
88595,6773,6,287b18a7-0dcb-48b2-83eb-c0a3ca1db8e6,2019-03-28 12:53:47 UTC,130.206.243.0,Xi'an,Jiangsu,212499,Chrome,Email,/cart,cart
89281,6828,9,b3965e78-fe5c-4dd8-b21d-cd5d60881d19,2020-12-06 01:21:49 UTC,209.101.29.228,Suzhou,Beijing,102676,Firefox,Email,/cart,cart
90002,6891,4,3138df9f-cbd6-4a6e-a17f-0241ffe1daad,2021-09-09 09:03:06 UTC,217.187.5.172,Brasília,Distrito Federal,70297-400,Firefox,Email,/cart,cart
93046,7124,4,22fd9411-1360-4be9-b2a2-0c8c0cd1a8c7,2022-04-06 02:31:05 UTC,64.160.239.243,Shanghai,Jiangsu,210011,IE,Email,/cart,cart
93802,7186,9,2f881899-30fa-458b-bea5-21758d14dd9f,2020-07-04 11:56:16 UTC,184.75.53.4,Foshan,Guangdong,515100,Chrome,Email,/cart,cart
94764,7250,9,54be175e-f1ba-4742-b867-19f83abc4c0a,2022-06-06 11:44:52.669598 UTC,183.119.191.158,Pamplona,Navarra,31012,Firefox,Email,/cart,cart
95119,7266,9,c751d98c-6944-4039-9c25-8f5d0957788d,2022-04-02 08:49:58 UTC,131.149.7.108,Perth,Western Australia,6065,Chrome,Email,/cart,cart
95142,7266,6,61161155-db31-4a64-9a90-3e3eb42718cd,2022-04-02 09:46:36 UTC,101.69.193.158,Perth,Western Australia,6065,IE,Email,/cart,cart
95733,7309,9,280dec65-ed0f-4e33-848f-f27a824d3ea4,2022-06-06 14:18:02 UTC,196.18.63.142,Earl Shilton,England,LE9,Safari,Email,/cart,cart
96072,7329,4,3ec56d7a-367f-45f7-84a9-9578e89e6cc4,2022-03-02 05:58:43 UTC,31.236.127.46,Taizhou,Shandong,266073,Chrome,Email,/cart,cart
97941,7466,4,acc2427d-d687-451f-8479-8b8eb80acc5c,2019-10-28 04:31:52 UTC,14.28.105.15,Hyères,Provence-Alpes-Côte d'Azur,83400,Firefox,Email,/cart,cart
98550,7518,4,69c96162-f4ad-4cd5-8661-393f55c54183,2021-01-11 02:00:29 UTC,65.143.132.163,Miami Beach,Florida,33141,IE,Email,/cart,cart
99030,7559,3,c2ff7ab4-c21a-4a75-95ed-82471465f5e8,2022-02-14 04:52:13 UTC,198.196.225.12,Waco,Texas,76705,Chrome,Email,/cart,cart
99378,7583,12,267ddbbf-b60c-43d8-bfdf-d58280b760fd,2021-04-16 11:18:48 UTC,77.166.202.30,Denham Springs,Louisiana,70726,Chrome,Email,/cart,cart
100561,7665,6,02a18f1a-3862-44ac-af57-48bb2d10451f,2022-01-05 10:33:28 UTC,8.167.36.133,Rösrath,Nordrhein-Westfalen,51503,Firefox,Email,/cart,cart
101976,7769,9,dcd7896b-570a-47dd-b927-6b36146c38e5,2020-03-10 01:19:06 UTC,216.44.150.130,Salinópolis,Pará,68721-000,Chrome,Email,/cart,cart
102153,7792,6,e2e6651c-a56a-4ef7-8625-b13f04682991,2022-04-21 09:15:49 UTC,112.9.215.67,Merritt Island,Florida,32953,Chrome,Email,/cart,cart
102225,7798,4,342e8fac-c173-43b5-bc6b-3219265047ac,2022-05-24 06:08:39 UTC,208.155.76.2,Weihai,Chongqing,400015,Chrome,Email,/cart,cart
103435,7900,6,69c93c62-64fb-4c27-aa9f-8b29d4d10fc7,2022-04-03 11:39:08 UTC,171.20.158.103,Louisville,Kentucky,40291,Firefox,Email,/cart,cart
103668,7923,6,b353a353-4f5b-4c36-897c-95b8bdc105cf,2021-09-23 09:47:31 UTC,126.192.247.63,Alvin,Texas,77511,Chrome,Email,/cart,cart
104698,7993,9,5987e051-00d8-4ad7-8e8c-e901de721e94,2022-04-17 00:30:19 UTC,12.250.109.119,Hangzhou,Hubei,430200,Safari,Email,/cart,cart
106333,8110,3,efa7046b-8f3f-44d7-a22c-2e9e41c457f9,2022-03-19 04:49:18 UTC,83.191.114.24,Jieyang,Fujian,361021,Chrome,Email,/cart,cart
106660,8127,3,c2909d5b-2437-4127-8eda-50017e4dba30,2019-11-09 14:33:38 UTC,203.143.196.90,Stonybrook,Pennsylvania,17402,Safari,Email,/cart,cart
107481,8187,6,eb105da1-329a-4115-bc46-0c6d3e9e1afa,2021-08-10 09:52:35 UTC,85.176.125.9,Yueyang,Jilin,134001,Chrome,Email,/cart,cart
107850,8226,3,f98599fa-1842-401a-8dad-2067e0f5c25c,2021-01-18 08:14:54 UTC,196.223.214.51,Oconomowoc,Wisconsin,53066,Firefox,Email,/cart,cart
109162,8325,6,1867aab9-3b3f-4a11-8bf9-132f7a567017,2021-11-19 08:25:44 UTC,199.176.60.232,Zhengzhou,Hunan,410021,Chrome,Email,/cart,cart
109753,8371,6,2b13bd80-02ce-46b0-af63-3c09b4d57794,2020-11-16 09:46:02 UTC,195.183.176.74,Belton,Missouri,64012,Chrome,Email,/cart,cart
109960,8383,3,82bed6df-1ea9-4a72-942d-d64dc3c55bd2,2021-12-09 12:40:54 UTC,11.222.121.248,Vinhedo,São Paulo,13280-000,Safari,Email,/cart,cart
111158,8485,6,2f92daf8-dae3-468c-8c82-f062666c92ed,2020-03-26 23:59:56 UTC,199.33.1.92,Sydney,New South Wales,2022,Chrome,Email,/cart,cart
111461,8508,6,8975f0ac-1597-4ed1-a1b5-9c35377ce213,2021-08-23 08:42:59 UTC,97.138.241.29,Keizer,Oregon,97303,Safari,Email,/cart,cart
111530,8515,3,54a88362-383a-439c-81d8-ab8855042231,2021-10-31 12:33:07 UTC,159.111.119.74,Dongguan,Guangdong,523660,Safari,Email,/cart,cart
112095,8566,3,e21ac0dd-a1ba-4c2c-bcb2-d010f9badcfc,2022-05-25 12:28:54 UTC,172.243.102.21,Nanjing,Sichuan,644002,Chrome,Email,/cart,cart
112366,8584,4,6627127e-8029-424d-b7ea-0a5068cdfdcb,2022-01-11 13:08:18 UTC,216.97.191.165,Houston,Texas,77016,Firefox,Email,/cart,cart
113192,8658,6,ce08d35d-0595-43eb-8818-8b3dfc5b623c,2021-11-08 01:23:53 UTC,38.144.125.237,Tianjin,Shanxi,30072,IE,Email,/cart,cart
