order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item
37,30,Processing,Female,2021-10-08 11:39:00 UTC,,,,1
38,31,Cancelled,Male,2021-06-01 10:41:00 UTC,,,,1
39,32,Returned,Male,2022-05-29 04:48:00 UTC,2022-06-01 16:52:00 UTC,2022-05-29 14:18:00 UTC,2022-06-01 16:03:00 UTC,1
40,33,Processing,Female,2022-06-01 01:23:00 UTC,,,,1
41,34,Shipped,Male,2022-05-07 06:49:00 UTC,,2022-05-08 16:46:00 UTC,,4
42,34,Shipped,Male,2019-08-16 06:49:00 UTC,,2019-08-18 15:46:00 UTC,,4
43,34,Complete,Male,2020-02-14 06:49:00 UTC,,2020-02-15 18:57:00 UTC,2020-02-16 00:38:00 UTC,2
44,35,Complete,Female,2021-07-02 16:43:00 UTC,,2021-07-04 14:57:00 UTC,2021-07-07 03:35:00 UTC,1
45,36,Complete,Male,2021-03-05 11:01:00 UTC,,2021-03-05 12:59:00 UTC,2021-03-07 11:48:00 UTC,3
46,37,Processing,Male,2021-05-16 07:47:00 UTC,,,,1
47,38,Complete,Female,2021-01-04 03:30:00 UTC,,2021-01-06 05:28:00 UTC,2021-01-10 23:03:00 UTC,1
48,39,Returned,Female,2022-03-22 05:25:00 UTC,2022-03-29 17:13:00 UTC,2022-03-23 06:11:00 UTC,2022-03-26 21:48:00 UTC,1
49,40,Shipped,Female,2021-12-13 12:59:00 UTC,,2021-12-13 17:57:00 UTC,,1
50,41,Shipped,Male,2022-04-09 03:34:00 UTC,,2022-04-11 04:33:00 UTC,,1
51,42,Cancelled,Male,2022-01-10 18:01:00 UTC,,,,1
52,42,Shipped,Male,2022-06-01 18:01:00 UTC,,2022-06-02 21:58:00 UTC,,1
53,42,Complete,Male,2021-09-04 18:01:00 UTC,,2021-09-06 09:42:00 UTC,2021-09-09 15:00:00 UTC,1
54,43,Complete,Male,2021-02-21 04:56:00 UTC,,2021-02-23 22:27:00 UTC,2021-02-24 17:09:00 UTC,4
55,44,Complete,Female,2022-02-20 02:29:00 UTC,,2022-02-20 18:24:00 UTC,2022-02-25 05:08:00 UTC,1
56,56,Shipped,Female,2021-11-12 02:29:00 UTC,,2021-11-13 23:57:00 UTC,,4
57,45,Shipped,Male,2020-12-15 18:50:00 UTC,,2020-12-16 03:06:00 UTC,,1
58,45,Processing,Male,2020-11-14 18:50:00 UTC,,,,1
59,46,Complete,Female,2019-07-16 11:47:00 UTC,,2019-07-19 10:04:00 UTC,2019-07-20 19:26:00 UTC,1
60,46,Shipped,Female,2020-10-03 11:47:00 UTC,,2020-10-05 17:29:00 UTC,,1
61,46,Complete,Female,2020-09-04 11:47:00 UTC,,2020-09-05 08:57:00 UTC,2020-09-10 07:01:00 UTC,4
62,46,Shipped,Female,2021-07-25 11:47:00 UTC,,2021-07-28 04:40:00 UTC,,1
63,47,Complete,Male,2019-08-16 15:10:00 UTC,,2019-08-18 11:53:00 UTC,2019-08-21 17:23:00 UTC,1
64,48,Shipped,Female,2021-12-09 15:35:00 UTC,,2021-12-12 13:22:00 UTC,,1
65,48,Complete,Female,2022-02-04 15:35:00 UTC,,2022-02-07 01:40:00 UTC,2022-02-10 11:45:00 UTC,1
66,49,Cancelled,Male,2022-03-28 05:52:00 UTC,,,,1
67,49,Complete,Male,2020-10-20 05:52:00 UTC,,2020-10-22 05:07:00 UTC,2020-10-23 09:33:00 UTC,2
68,50,Returned,Female,2020-12-22 13:46:00 UTC,2020-12-26 20:04:00 UTC,2020-12-24 14:40:00 UTC,2020-12-25 08:07:00 UTC,1
69,51,Shipped,Female,2021-10-09 07:18:00 UTC,,2021-10-10 12:30:00 UTC,,1
70,51,Complete,Female,2022-06-04 07:18:00 UTC,,2022-06-06 01:28:00 UTC,2022-06-09 04:46:00 UTC,3
71,52,Returned,Male,2022-01-13 01:41:00 UTC,2022-01-16 00:58:00 UTC,2022-01-14 00:43:00 UTC,2022-01-14 10:04:00 UTC,3
72,53,Shipped,Male,2022-03-06 07:01:00 UTC,,2022-03-08 22:40:00 UTC,,1
73,54,Complete,Female,2020-07-22 04:10:00 UTC,,2020-07-22 05:18:00 UTC,2020-07-22 06:58:00 UTC,3
74,55,Complete,Male,2022-05-22 17:04:00 UTC,,2022-05-24 17:34:00 UTC,2022-05-25 01:59:00 UTC,1
75,57,Returned,Male,2020-11-18 17:59:00 UTC,2020-11-25 03:41:00 UTC,2020-11-20 01:19:00 UTC,2020-11-22 13:00:00 UTC,1
76,57,Complete,Male,2020-01-22 17:59:00 UTC,,2020-01-22 19:51:00 UTC,2020-01-24 00:21:00 UTC,4
77,58,Complete,Female,2022-06-05 06:37:14.329487 UTC,,2022-06-06 04:30:14.329487 UTC,2022-06-08 19:21:14.329487 UTC,2
78,58,Shipped,Female,2022-06-04 06:37:14.329487 UTC,,2022-06-04 14:23:14.329487 UTC,,3
79,59,Shipped,Female,2021-07-11 01:39:00 UTC,,2021-07-11 04:08:00 UTC,,1
80,61,Cancelled,Male,2022-05-28 07:08:00 UTC,,,,4
81,62,Processing,Male,2020-04-21 10:44:00 UTC,,,,1
82,62,Processing,Male,2022-03-15 10:44:00 UTC,,,,1
83,63,Shipped,Male,2020-06-01 02:52:00 UTC,,2020-06-02 18:57:00 UTC,,1
84,63,Complete,Male,2020-08-31 02:52:00 UTC,,2020-08-31 08:50:00 UTC,2020-09-01 16:25:00 UTC,1
85,64,Complete,Male,2022-04-19 06:53:00 UTC,,2022-04-20 03:07:00 UTC,2022-04-23 11:52:00 UTC,1
86,65,Shipped,Female,2021-02-07 05:18:00 UTC,,2021-02-10 00:04:00 UTC,,1
87,67,Shipped,Female,2020-12-11 01:10:00 UTC,,2020-12-11 20:01:00 UTC,,1
88,68,Complete,Female,2022-06-06 18:55:00 UTC,,2022-06-08 13:45:00 UTC,2022-06-13 03:05:00 UTC,1
89,71,Cancelled,Male,2020-11-04 18:08:00 UTC,,,,1
90,73,Complete,Male,2021-06-06 02:37:00 UTC,,2021-06-08 07:03:00 UTC,2021-06-09 05:58:00 UTC,3
91,73,Complete,Male,2021-12-01 02:37:00 UTC,,2021-12-01 13:39:00 UTC,2021-12-03 10:31:00 UTC,1
92,74,Processing,Male,2021-02-25 11:34:00 UTC,,,,1
93,75,Complete,Male,2022-01-03 08:53:00 UTC,,2022-01-05 07:53:00 UTC,2022-01-07 23:54:00 UTC,4
94,77,Processing,Female,2022-06-05 12:24:00 UTC,,,,2
95,78,Shipped,Female,2021-02-18 18:01:00 UTC,,2021-02-19 04:13:00 UTC,,1
96,79,Shipped,Female,2022-05-11 09:14:00 UTC,,2022-05-13 05:18:00 UTC,,3
97,79,Complete,Female,2020-07-06 09:14:00 UTC,,2020-07-06 16:31:00 UTC,2020-07-07 01:25:00 UTC,1
98,79,Complete,Female,2019-02-27 09:14:00 UTC,,2019-03-01 23:34:00 UTC,2019-03-06 03:02:00 UTC,4
99,80,Cancelled,Male,2021-09-27 11:51:00 UTC,,,,2
100,81,Shipped,Female,2021-10-25 02:47:00 UTC,,2021-10-28 02:08:00 UTC,,1
101,82,Cancelled,Male,2021-04-01 01:42:00 UTC,,,,2
102,82,Returned,Male,2020-11-17 01:42:00 UTC,2020-11-21 04:46:00 UTC,2020-11-19 22:57:00 UTC,2020-11-20 17:05:00 UTC,1
103,82,Cancelled,Male,2020-10-29 01:42:00 UTC,,,,1
104,82,Shipped,Male,2020-02-10 01:42:00 UTC,,2020-02-10 21:28:00 UTC,,1
105,83,Complete,Male,2020-10-21 16:14:00 UTC,,2020-10-23 06:27:00 UTC,2020-10-27 12:25:00 UTC,1
106,83,Returned,Male,2020-09-28 16:14:00 UTC,2020-10-05 02:25:00 UTC,2020-09-29 03:29:00 UTC,2020-10-02 11:51:00 UTC,2
107,84,Complete,Female,2021-08-06 17:48:00 UTC,,2021-08-07 10:00:00 UTC,2021-08-11 05:56:00 UTC,3
108,84,Processing,Female,2021-01-13 17:48:00 UTC,,,,2
109,85,Complete,Female,2022-03-21 13:08:00 UTC,,2022-03-24 05:25:00 UTC,2022-03-26 06:12:00 UTC,2
110,86,Complete,Male,2021-04-09 01:49:00 UTC,,2021-04-10 15:04:00 UTC,2021-04-14 14:28:00 UTC,2
111,88,Complete,Female,2021-09-30 04:36:00 UTC,,2021-10-01 08:30:00 UTC,2021-10-05 23:45:00 UTC,1
112,89,Complete,Female,2020-09-03 02:51:00 UTC,,2020-09-04 05:33:00 UTC,2020-09-04 15:31:00 UTC,1
113,90,Complete,Male,2022-03-07 05:23:00 UTC,,2022-03-10 03:00:00 UTC,2022-03-12 23:37:00 UTC,1
114,90,Cancelled,Male,2022-02-21 05:23:00 UTC,,,,1
115,91,Complete,Male,2022-03-23 16:32:00 UTC,,2022-03-24 09:35:00 UTC,2022-03-26 07:33:00 UTC,2
116,93,Cancelled,Female,2020-01-12 15:59:00 UTC,,,,1
117,93,Shipped,Female,2021-01-06 15:59:00 UTC,,2021-01-06 22:21:00 UTC,,1
118,93,Shipped,Female,2022-04-20 15:59:00 UTC,,2022-04-22 18:01:00 UTC,,1
119,93,Returned,Female,2020-08-15 15:59:00 UTC,2020-08-22 12:57:00 UTC,2020-08-17 12:28:00 UTC,2020-08-20 23:07:00 UTC,1
120,95,Processing,Female,2021-10-29 16:00:00 UTC,,,,1
121,95,Shipped,Female,2021-05-23 16:00:00 UTC,,2021-05-23 19:59:00 UTC,,1
122,96,Complete,Female,2020-11-14 11:26:00 UTC,,2020-11-14 13:54:00 UTC,2020-11-16 06:37:00 UTC,1
123,97,Processing,Female,2022-03-31 11:36:00 UTC,,,,1
124,98,Complete,Female,2022-05-12 04:54:00 UTC,,2022-05-14 12:56:00 UTC,2022-05-18 11:24:00 UTC,1
125,98,Returned,Female,2022-06-05 04:54:00 UTC,2022-06-11 01:15:00 UTC,2022-06-07 07:09:00 UTC,2022-06-10 20:37:00 UTC,1
126,99,Shipped,Female,2021-03-15 16:22:00 UTC,,2021-03-17 13:12:00 UTC,,1
127,101,Processing,Male,2021-10-28 15:38:00 UTC,,,,1
128,102,Processing,Female,2021-03-10 04:37:00 UTC,,,,1
129,102,Complete,Female,2020-11-29 04:37:00 UTC,,2020-11-29 14:30:00 UTC,2020-12-03 16:54:00 UTC,2
130,103,Complete,Female,2022-06-06 10:31:15.291868 UTC,,2022-06-09 00:40:15.291868 UTC,2022-06-11 22:28:15.291868 UTC,1
131,103,Shipped,Female,2022-06-05 10:31:15.291868 UTC,,2022-06-08 01:33:15.291868 UTC,,1
132,104,Cancelled,Female,2021-02-07 16:39:00 UTC,,,,2
133,105,Processing,Male,2022-05-12 17:43:00 UTC,,,,4
134,105,Shipped,Male,2021-09-26 17:43:00 UTC,,2021-09-28 18:01:00 UTC,,2
135,106,Cancelled,Male,2021-02-22 08:10:00 UTC,,,,3
136,107,Processing,Female,2022-03-29 15:15:00 UTC,,,,1
137,107,Cancelled,Female,2021-11-07 15:15:00 UTC,,,,1
138,107,Complete,Female,2021-12-31 15:15:00 UTC,,2022-01-03 07:31:00 UTC,2022-01-04 19:30:00 UTC,1
139,107,Processing,Female,2021-04-21 15:15:00 UTC,,,,1
140,108,Shipped,Female,2021-12-15 06:23:00 UTC,,2021-12-17 05:14:00 UTC,,1
141,109,Cancelled,Male,2022-05-18 13:18:00 UTC,,,,3
142,109,Shipped,Male,2021-12-12 13:18:00 UTC,,2021-12-14 02:09:00 UTC,,1
143,109,Complete,Male,2021-03-02 13:18:00 UTC,,2021-03-04 00:44:00 UTC,2021-03-04 00:51:00 UTC,1
144,110,Cancelled,Female,2022-03-26 04:39:00 UTC,,,,1
145,111,Shipped,Male,2020-03-26 15:50:00 UTC,,2020-03-28 13:20:00 UTC,,1
146,111,Shipped,Male,2022-03-20 15:50:00 UTC,,2022-03-20 21:24:00 UTC,,2
147,112,Shipped,Female,2021-09-29 16:06:00 UTC,,2021-09-30 16:08:00 UTC,,1
148,113,Complete,Female,2020-09-09 12:31:00 UTC,,2020-09-11 15:39:00 UTC,2020-09-13 22:51:00 UTC,1
149,114,Complete,Male,2021-02-17 04:20:00 UTC,,2021-02-18 13:21:00 UTC,2021-02-21 20:59:00 UTC,1
150,115,Shipped,Female,2022-05-18 03:03:00 UTC,,2022-05-18 17:22:00 UTC,,1
